West Zone Power Distribution Company Ltd (WZPDCL),,,,,,,,
List of Candidates for the post of Switch Board Attendent (SBA) Apprentice,,,,,,,,
,,,,,,,,
SL No.,Roll No.,,,,,,,
1,12966,,,,,,,
2,13048,,,,,,,
3,13332,,,,,,,
4,14783,,,,,,,
5,14882,,,,,,,
6,15158,,,,,,,
7,15870,,,,,,,
8,15919,,,,,,,
9,10295,,,,,,,
10,10870,,,,,,,
11,17129,,,,,,,
12,16548,,,,,,,
13,16378,,,,,,,
14,16279,,,,,,,
15,16008,,,,,,,
16,15850,,,,,,,
17,15831,,,,,,,
18,15705,,,,,,,
19,15177,,,,,,,
20,14076,,,,,,,
21,13993,,,,,,,
22,12707,,,,,,,
23,12592,,,,,,,
24,11279,,,,,,,
25,11479,,,,,,,
26,10754,,,,,,,
27,10383,,,,,,,
28,10107,,,,,,,
29,10040,,,,,,,
30,17141,,,,,,,
31,16599,,,,,,,
32,16139,,,,,,,
33,15875,,,,,,,
34,15715,,,,,,,
35,15693,,,,,,,
36,15053,,,,,,,
37,14581,,,,,,,
38,14155,,,,,,,
39,12008,,,,,,,
40,11604,,,,,,,
41,11095,,,,,,,
42,10991,,,,,,,
43,10049,,,,,,,
44,10038,,,,,,,
45,16435,,,,,,,
46,16098,,,,,,,
47,15781,,,,,,,
48,15434,,,,,,,
49,15235,,,,,,,
50,14599,,,,,,,
51,13412,,,,,,,
52,12683,,,,,,,
53,11959,,,,,,,
54,11863,,,,,,,
55,11750,,,,,,,
56,11189,,,,,,,
57,10058,,,,,,,
58,10030,,,,,,,
59,17094,,,,,,,
60,11840,,,,,,,
61,12048,,,,,,,
62,12165,,,,,,,
63,12844,,,,,,,
64,13414,,,,,,,
65,13589,,,,,,,
66,16651,,,,,,,
67,10187,,,,,,,
68,11193,,,,,,,
69,11411,,,,,,,
70,12443,,,,,,,
71,12469,,,,,,,
72,12525,,,,,,,
73,12590,,,,,,,
74,13765,,,,,,,
75,14975,,,,,,,
76,15682,,,,,,,
77,15874,,,,,,,
78,16646,,,,,,,
79,10994,,,,,,,
80,11663,,,,,,,
81,11738,,,,,,,
82,11902,,,,,,,
83,12123,,,,,,,
84,13435,,,,,,,
85,13448,,,,,,,
86,13640,,,,,,,
87,13768,,,,,,,
88,13775,,,,,,,
89,13973,,,,,,,
90,14828,,,,,,,
91,15136,,,,,,,
92,15505,,,,,,,
93,16447,,,,,,,
94,16727,,,,,,,
95,15144,,,,,,,
96,10381,,,,,,,
97,10825,,,,,,,
98,11272,,,,,,,
99,14738,,,,,,,
100,16285,,,,,,,
101,10685,,,,,,,
102,11302,,,,,,,
103,11513,,,,,,,
104,12612,,,,,,,
105,12884,,,,,,,
106,12996,,,,,,,
107,13370,,,,,,,
108,14216,,,,,,,
109,14485,,,,,,,
110,15751,,,,,,,
111,16176,,,,,,,
112,16845,,,,,,,
113,10666,,,,,,,
114,11380,,,,,,,
115,11498,,,,,,,
116,11648,,,,,,,
117,12205,,,,,,,
118,12994,,,,,,,
119,13308,,,,,,,
120,13975,,,,,,,
121,14358,,,,,,,
122,15034,,,,,,,
123,15912,,,,,,,
124,10056,,,,,,,
125,10734,,,,,,,
126,10902,,,,,,,
127,11064,,,,,,,
128,11468,,,,,,,
129,11831,,,,,,,
130,12222,,,,,,,
131,12428,,,,,,,
132,14851,,,,,,,
133,16070,,,,,,,
134,16596,,,,,,,
135,10795,,,,,,,
136,11553,,,,,,,
137,11568,,,,,,,
138,12056,,,,,,,
139,13476,,,,,,,
140,13699,,,,,,,
141,13755,,,,,,,
142,13825,,,,,,,
143,14051,,,,,,,
144,14585,,,,,,,
145,15876,,,,,,,
146,17112,,,,,,,
147,11449,,,,,,,
148,11511,,,,,,,
149,11768,,,,,,,
150,12623,,,,,,,
151,13093,,,,,,,
152,14191,,,,,,,
153,15008,,,,,,,
154,15593,,,,,,,
155,15655,,,,,,,
156,15796,,,,,,,
157,11643,,,,,,,
158,11742,,,,,,,
159,11808,,,,,,,
160,12106,,,,,,,
161,12241,,,,,,,
162,12314,,,,,,,
163,12518,,,,,,,
164,12819,,,,,,,
165,11499,,,,,,,
166,10258,,,,,,,
167,15394,,,,,,,
168,13006,,,,,,,
169,12545,,,,,,,
170,12463,,,,,,,
171,17058,,,,,,,
172,16366,,,,,,,
173,16249,,,,,,,
174,15872,,,,,,,
175,15530,,,,,,,
176,15366,,,,,,,
177,14609,,,,,,,
178,14368,,,,,,,
179,12738,,,,,,,
180,11587,,,,,,,
181,11296,,,,,,,
182,10714,,,,,,,
183,15395,,,,,,,
184,12681,,,,,,,
185,12557,,,,,,,
186,12249,,,,,,,
187,11824,,,,,,,
188,10893,,,,,,,
189,16839,,,,,,,
190,16525,,,,,,,
191,15579,,,,,,,
192,14984,,,,,,,
193,13426,,,,,,,
194,12610,,,,,,,
195,10139,,,,,,,
196,13254,,,,,,,
197,11493,,,,,,,
198,10519,,,,,,,
199,15983,,,,,,,
200,12925,,,,,,,
201,13100,,,,,,,
202,13375,,,,,,,
203,11486,,,,,,,
204,11562,,,,,,,
205,12268,,,,,,,
206,13427,,,,,,,
207,10136,,,,,,,
208,10395,,,,,,,
209,10965,,,,,,,
210,11425,,,,,,,
211,12173,,,,,,,
212,12512,,,,,,,
213,16475,,,,,,,
214,10245,,,,,,,
215,12364,,,,,,,
216,14877,,,,,,,
217,16084,,,,,,,
218,10800,,,,,,,
219,12826,,,,,,,
220,13057,,,,,,,
221,14063,,,,,,,
222,14352,,,,,,,
223,14401,,,,,,,
224,16993,,,,,,,
225,17095,,,,,,,
226,10143,,,,,,,
227,10336,,,,,,,
228,10985,,,,,,,
229,10988,,,,,,,
230,12095,,,,,,,
231,12601,,,,,,,
232,12816,,,,,,,
233,13731,,,,,,,
234,15553,,,,,,,
235,16768,,,,,,,
236,10630,,,,,,,
237,11543,,,,,,,
238,11690,,,,,,,
239,12854,,,,,,,
240,15342,,,,,,,
241,11243,,,,,,,
242,12492,,,,,,,
243,11024,,,,,,,
244,11472,,,,,,,
245,15452,,,,,,,
246,17049,,,,,,,
247,11488,,,,,,,
248,11506,,,,,,,
249,12172,,,,,,,
250,12801,,,,,,,
251,14224,,,,,,,
252,15268,,,,,,,
253,15497,,,,,,,
254,11811,,,,,,,
255,15005,,,,,,,
256,10323,,,,,,,
257,10545,,,,,,,
258,11559,,,,,,,
259,12126,,,,,,,
260,12706,,,,,,,
261,14610,,,,,,,
262,16022,,,,,,,
263,10075,,,,,,,
264,13458,,,,,,,
265,15824,,,,,,,
266,16388,,,,,,,
267,11714,,,,,,,
268,12138,,,,,,,
269,12784,,,,,,,
270,10695,,,,,,,
271,15402,,,,,,,
272,15955,,,,,,,
273,10457,,,,,,,
274,12446,,,,,,,
275,10140,,,,,,,
276,11453,,,,,,,
277,16587,,,,,,,
278,13054,,,,,,,
279,11377,,,,,,,
280,15982,,,,,,,
281,10037,,,,,,,
282,12200,,,,,,,
283,11305,,,,,,,
284,13251,,,,,,,
285,10153,,,,,,,
286,12405,,,,,,,
287,14334,,,,,,,
288,11321,,,,,,,
289,11461,,,,,,,
290,11462,,,,,,,
291,15974,,,,,,,
292,16092,,,,,,,
293,12775,,,,,,,
294,15967,,,,,,,
295,12404,,,,,,,
296,12631,,,,,,,
297,12661,,,,,,,
298,15379,,,,,,,
299,16124,,,,,,,
300,12508,,,,,,,
301,12883,,,,,,,
302,14684,,,,,,,
303,11538,,,,,,,
304,13021,,,,,,,
